Nombre,Precio regular,Precio promocional,Categoria/s,SKU,URL,Stock,Descripcion
SILLA OFICINA TULIP GRIS,29999.0,29999.0,"/Hogar/MUEBLES DE INTERIOR/MUEBLES DE OFICINA/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",903916,https://www.hiperlibertad.com.ar/silla-oficina-tulip-gris/p,1,SILLA OFICINA TULIP GRIS
SILLA OFICINA TULIP NEGRO,29999.0,29999.0,"/Hogar/MUEBLES DE INTERIOR/MUEBLES DE OFICINA/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",903915,https://www.hiperlibertad.com.ar/silla-oficina-tulip-negro/p,4,SILLA OFICINA TULIP NEGRO
SILLA DISE?O ALLEGRA NEGRO,18999.0,18999.0,"/Hogar/MUEBLES DE INTERIOR/MUEBLES PARA LIVING Y COMEDOR/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",903913,https://www.hiperlibertad.com.ar/silla-dise-o-allegra-negro/p,4,SILLA DISE?O ALLEGRA NEGRO
SILLA DISE?O ALLEGRA BLANCO,18999.0,18999.0,"/Hogar/MUEBLES DE INTERIOR/MUEBLES PARA LIVING Y COMEDOR/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",903912,https://www.hiperlibertad.com.ar/silla-dise-o-allegra-blanco/p,4,SILLA DISE?O ALLEGRA BLANCO
SILLA DISE?O NINA NEGRA,18999.0,18999.0,"/Hogar/MUEBLES DE INTERIOR/MUEBLES PARA LIVING Y COMEDOR/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",903911,https://www.hiperlibertad.com.ar/silla-dise-o-nina-negra/p,6,SILLA DISE?O NINA NEGRA
SILLA DISE?O NINA BLANCO,18999.0,18999.0,"/Hogar/MUEBLES DE INTERIOR/MUEBLES PARA LIVING Y COMEDOR/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",903910,https://www.hiperlibertad.com.ar/silla-dise-o-nina-blanco/p,6,SILLA DISE?O NINA BLANCO
SILLA DISE?O MAGNOLIA BCO.,17999.0,17999.0,"/Hogar/MUEBLES DE INTERIOR/MUEBLES PARA LIVING Y COMEDOR/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",903909,https://www.hiperlibertad.com.ar/silla-dise-o-magnolia-blanca/p,6,SILLA DISE?O MAGNOLIA BCO.
SILLA DISEÑO MAGNOLIA GRIS,17999.0,17999.0,"/Hogar/MUEBLES DE INTERIOR/MUEBLES PARA LIVING Y COMEDOR/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",504517,https://www.hiperlibertad.com.ar/silla-dise-o-magnolia-gris/p,4,"Silla de Diseño Magnolia - Casco Eames con patas escandinavas Sillas de diseño Eames, cuentan con asiento de polipropileno Blanco y patas de madera de diseño escandinavo con punteras antideslizantes.  COLOR: GRIS ESPECIFICACIONES Materiales: Casco Polipropileno y patas de madera. Soporta 120 kg MEDIDAS:  Profundidad 47 cm Ancho 47 cm Alto 83 cm Alto del Piso al Asiento 40 cm"
SILLA GALA BCO/CARRERA GRIS C,38299.0,38299.0,"/Hogar/MUEBLES DE INTERIOR/MUEBLES PARA LIVING Y COMEDOR/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",497075,https://www.hiperlibertad.com.ar/silla-gala-bco-carrera-gris-c/p,6,"DESCRIPCION: SILLA GALA tapizada en tela antidesgarre. 
 MEDIDAS:  Alto: 90cm  Ancho: 45cm  Profundidad: 40cm  MATERIALES: Estructura de madera. Base de caño 1 1/2"" Patas Madera de Eucalipto"
MATERA CAÑO NEGRO TAP. BRONCE,41199.0,25759.2,"/Hogar/MUEBLES DE INTERIOR/MUEBLES PARA LIVING Y COMEDOR/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",497074,https://www.hiperlibertad.com.ar/matera-ca-o-negro-tap-bronce/p,1,"DESCRIPCION: Silla matera tapizada, con estructura de caño. MEDIDAS: Alto: 70cm  Ancho: 60cm  Profundidad: 60cm  MATERIALES: Patas en caño de 3 cm x 3 cm."
